# agreed to re-licensing
# GitHub username, evidence

ratzeni, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2156437442
ianschenck, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2156554721
roryk, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2156734170
NCEichner, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2156822869
meekrob, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2157094723
nagoue, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2162541083
tshtatland, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2163521867
katrinleinweber, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2172337847
jdlogicman, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2183469757
dpryan79, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2227060871
FredericBGA, 2024-08-08 personal email to mr-c
lindenb, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2227066629
inkuzmin, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2227069559
osallou, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2227121052
joachimwolff, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2227158926
scrathat, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2227309669
remimarenco, 2024-08-08 personal email to mr-c
MatthewRalston, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2227802568
charesredhat, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2228040313
blankclemens, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2228339100
kellyv, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2228731480
tesujimath, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2228830419
ycgong, 2024-08-08 personal email to mr-c
aloraine, 2024-08-09 personal email to mr-c
thomcuddihy, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2228972535
cbare, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2228972535
anatskiy, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2229566214
dan-blanchard, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2230421183
cginmn, 2024-08-09 personal email to mr-c
markiskander, 2024-08-12 personal email to mr-c
leobiscassi, 2024-08-12 personal email to mr-c
ThomasWollmann, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2259147420
fmareuil, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2260099669
FreekDB, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2263520321
arbernard, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2319692992
remyd1, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2319836450
npinter, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-2321413840
jenzopr, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-3841679625
claresloggett, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-3844414931
nturaga, https://github.com/galaxyproject/galaxy/pull/16970#issuecomment-3954162420
hanfeisun, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-3852218069

# not yet agreed, special handling
jxtx, James Taylor, deceased; RIP buddy

# not yet agreed, need to find a 2024-valid email for them
crashGoBoom, Christopher Mundus
NA, Ilya ichorny, currently at Quantum-Si
dlal-group, Marie Gramm
carmstrong1gw, Chris Armstrong, address bounced
NA, Hiral Vora, address bounced
odoppelt, Olivia Doppelt-Azeroual, address bounced
sszakony, Scott Szakonyi, address bounced; last contribution in 2016
RichardJActon, Richard James Acton, address bounced
NicHerndon, Nic Herndon, address bounced
NA, Chinmay Rao, address bounced
NA, Hunter Moseley, address bounced
jessevdam, Jesse c j van Dam, address bounced
NA, Jianbin He, address bounced
jra001k, Jerome Raciazek, address bounced
martijnvermaattest, Martijn Vermaat, address bounced
NA, MORITA Hideyuki, address bounced
NA, Raj Ayyampalayam, address bounced
NA, Radhesh Kamath, address bounced
saxtouri, Stavros Sachtouris, address bounced
tmcgowan, Thomas McGowan, address bounced
XDtim, Tim Thompson, address bounced

# not yet agreed, needs research
# GitHub username or NA, Name, Comment
arjunnath, Arjun Nath
ashvark, Ashok Varadharajan
BalthazarPavot, Balthazar Pavot, GitHub account deleted
the-nidhogg, balto, ¿same as BalthazarPavot (only commits from both are in the same PR)?
bensellak, Taoufik Bensellak
dtrudg, Dave Trudgian, https://github.com/galaxyproject/galaxy/pull/16970#pullrequestreview-1712375794
cmonjeau, Cyril Monjeaud
NA, dorine francheteau
NA, Eric Paniagua
NA, Guruprasad Ananda
vdtoorn, Henk van den Toorn
theboocock, James Boocock
joachimjacob, Joachim Jacob
jraysajulga, (JR) Ray Sajulga
juleengraham, Juleen Graham
junzwang, Junzhou Wang
NA, Scott McManus, last contribution in 2012
kidanem, Kidane M. Tekle
lawrence1470, Lawrence Nicastro
vavrusa, Marek Vavruša
ffinfo, Peter van 't Hof
ramezrawas, Ramez Alrawas
NA, Ramkrishna Chakrabarty
golharam, Ryan Golhar
simleo, Simone Leo
NA, Wen-Yu Chung, last contribution in 2009
WilliamHolden, William Holden
simpsonw, Will Simpson
xgaia, Xavier Garnier
xiaojay, Jay Young
xiaoqian1984, Xiaoqian Jiang
NA, Yi Zhang, last contribution in 2007

# not agreed, but contributions no longer present
NA, Andrea Sbardellati, address bounced; only one commit to bowtie2 wrapper; since moved to the tool shed
